SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MF,FIFMPS6CDP,FRANTEMAMC - FIFMPS6CDP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS6CRG,FRANTEMAMC - FIFMPS6CRG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS6CDG,FRANTEMAMC - FIFMPS6CDG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS6CQP,FRANTEMAMC - FIFMPS6CQP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5DG,Fidelity-S V-Plan D - Grw,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5EG,Fidelity-S V-Plan E - Grw,31/05/2022, , , , , ,REDEMPTION               
MF,BSLIQPIRG,BSL IIF- QP - SI -RPG,25/05/2022, , , , , ,STP                      
MF,BSLIQPIRDP,BSL IIF- QP - SI -RPDP,25/05/2022, , , , , ,STP                      
MF,BSLIQPIIDP,BSL IIF- QP - SI -IPDP,25/05/2022, , , , , ,STP                      
MF,FIFMPS5CG,Fidelity-S V-Plan C - Grw,31/05/2022, , , , , ,REDEMPTION               
MF,BSLIFQPIDG,BIRLASLAMC - BSLIFQPIDG,25/05/2022, , , , , ,STP                      
MF,FIFMPS5EDG,FRANTEMAMC - FIFMPS5EDG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5EDP,FRANTEMAMC - FIFMPS5EDP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5EDD,FRANTEMAMC - FIFMPS5EDD,31/05/2022, , , , , ,REDEMPTION               
MF,M15DD,SUNDARMAMC - M15DD,31/05/2022, , , , , ,REDEMPTION               
MF,M15DG,SUNDARMAMC - M15DG,31/05/2022, , , , , ,REDEMPTION               
MF,M15RD,SUNDARMAMC - M15RD,31/05/2022, , , , , ,REDEMPTION               
MF,M15RG,SUNDARMAMC - M15RG,31/05/2022, , , , , ,REDEMPTION               
MF,H1372D42RD,HDFCAMC - H1372D42RD,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1372D42DD,HDFCAMC - H1372D42DD,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1372D42RG,HDFCAMC - H1372D42RG,27/06/2022, , , , , ,REDEMPTION               
MF,H1372D42DQ,HDFCAMC - H1372D42DQ,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1372D42DG,HDFCAMC - H1372D42DG,27/06/2022, , , , , ,REDEMPTION               
MF,H1344D43DG,HDFCAMC - H1344D43DG,23/06/2022, , , , , ,REDEMPTION               
MF,H1344D43RQ,HDFCAMC - H1344D43RQ,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1344D43RD,HDFCAMC - H1344D43RD,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1344D43RG,HDFCAMC - H1344D43RG,23/06/2022, , , , , ,REDEMPTION               
MF,H1344D43DD,HDFCAMC - H1344D43DD,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1344D43DQ,HDFCAMC - H1344D43DQ,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,IMFFM33DDG,RELIGARAMC - IMFFM33DDG,06/06/2022, , , , , ,DIV/REDEMPTION           
MF,IMFFM33DRG,RELIGARAMC - IMFFM33DRG,06/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1381D42RD,HDFCAMC - H1381D42RD,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1381D42RG,HDFCAMC - H1381D42RG,27/06/2022, , , , , ,REDEMPTION               
MF,H1381D42DQ,HDFCAMC - H1381D42DQ,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1381D42RQ,HDFCAMC - H1381D42RQ,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1381D42DG,HDFCAMC - H1381D42DG,27/06/2022, , , , , ,REDEMPTION               
MF,H1381D42DD,HDFCAMC - H1381D42DD,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,FIFMPS5CDQ,FRANTEMAMC - FIFMPS5CDQ,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5CDD,FRANTEMAMC - FIFMPS5CDD,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5CDP,FRANTEMAMC - FIFMPS5CDP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5CDG,FRANTEMAMC - FIFMPS5CDG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5CQD,FRANTEMAMC - FIFMPS5CQD,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5DDP,FRANTEMAMC - FIFMPS5DDP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5DDG,FRANTEMAMC - FIFMPS5DDG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5DDD,FRANTEMAMC - FIFMPS5DDD,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5DQP,FRANTEMAMC - FIFMPS5DQP,31/05/2022, , , , , ,REDEMPTION               
MF,UTRAP31P04,UTIAMC - UTRAP31P04,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDAP31P04,UTIAMC - UTDAP31P04,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDMP31P04,UTIAMC - UTDMP31P04,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRGR31P04,UTIAMC - UTRGR31P04,24/05/2022, , , , , ,REDEMPTION               
MF,UTDGR31P04,UTIAMC - UTDGR31P04,24/05/2022, , , , , ,REDEMPTION               
MF,UTDFP31P04,UTIAMC - UTDFP31P04,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRQP31P04,UTIAMC - UTRQP31P04,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDQP31P04,UTIAMC - UTDQP31P04,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRMP31P04,UTIAMC - UTRMP31P04,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,FIFMPS5FDP,FRANTEMAMC - FIFMPS5FDP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5FDG,FRANTEMAMC - FIFMPS5FDG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5FRG,FRANTEMAMC FIFMPS5FRG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5FQD,FRANTEMAMC - FIFMPS5FQD,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5FDD,FRANTEMAMC - FIFMPS5FDD,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5FDQ,FRANTEMAMC - FIFMPS5FDQ,31/05/2022, , , , , ,REDEMPTION               
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
MI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
MI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,28/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
MJ,IBULHSGFIN,Sec Re NCD 8.05% Sr.III,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
MK,SRTRANSFIN,Sec Red NCD 9.30% Sr. IV,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
MK,IBULHSGFIN,Sec Re NCD 8.42% Sr.III,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
ML,SRTRANSFIN,Sec Red NCD 9.40% Sr. V,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
MO,IBULHSGFIN,Sec Re NCD 8.20% Sr.VI,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
MO,SRTRANSFIN,Sec Red NCD 9.12% Sr. I,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
MP,SRTRANSFIN,Sec Red NCD 9.30% Sr. II,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
MP,IBULHSGFIN,Sec Re NCD 8.66% Sr.VI,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
MS,IBULHSGFIN,Sec Re NCD 8.43% Sr.VIII,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
MT,IBULHSGFIN,Sec Re NCD 8.89% Sr.VIII,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
MV,SRTRANSFIN,Shriram Transport Finance,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
MW,SRTRANSFIN,Shriram Transport Finance,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
N1,UGROCAP,Sec Red NCD 10.03%,01/06/2022, , ,31/05/2022, , ,INTEREST PAYMENT         
N1,M&MFIN,8.72% Unsecured NCD,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
N2,M&MFIN,9.00% Unsecured NCD,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
N3,POONAWALLA,Poonawalla Fincorp Ltd,21/06/2022, , ,20/06/2022, , ,INTEREST PAYMENT         
N3,POONAWALLA,Poonawalla Fincorp Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
N3,BRITANNIA,Unsec Red NCD 5.50%,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
N3,TATACAPHSG,Sec Red NCD 7.92% Sr.II,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
N3,UGROCAP,Sec Red NCD 10.15% Sr. II,21/05/2022, , ,19/05/2022, , ,INTEREST PAYMENT         
N4,UGROCAP,Sec Red NCD 10.40% Sr.III,21/05/2022, , ,19/05/2022, , ,INTEREST PAYMENT         
N4,TATACAPHSG,Sec Red NCD 8.01% Sr.II,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
N4,IIFL,Sec Red NCD 9.75 % Sr.III,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
N5,EHFLNCD,Sec Red NCD 9.57% Sr. V,25/05/2022, , ,24/05/2022, , ,INTEREST PAYMENT         
N5,IIHFL,Unsec Re NCD 9.60% Sr.II,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
N6,POONAWALLA,Poonawalla Fincorp Ltd,21/06/2022, , ,20/06/2022, , ,INTEREST PAYMENT         
N6,POONAWALLA,Poonawalla Fincorp Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
N6,IIFL,Unsec Red NCD 10.0% Sr. V,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
N6,DHANILOANS,Dhani Loans & Serv Ltd,24/05/2022, , ,23/05/2022, , ,INTEREST PAYMENT         
N7,TATACAPHSG,Sec Red NCD 8.01% Sr.IV,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
N7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,10/06/2022, , ,09/06/2022, , ,INTEREST PAYMENT         
N8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,17/06/2022, , ,16/06/2022, , ,INTEREST PAYMENT         
N8,TATACAPHSG,Sec Red NCD 8.10% Sr.IV,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
N9,IIHFL,Sec Re NCD 8.20% Sr.III,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
N9,ICICI0401,ICICI0401-CGB2-5T-2022,24/06/2022, , ,23/06/2022, , ,REDEMPTION               
NA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,10/06/2022, , ,09/06/2022, , ,INTEREST PAYMENT         
NB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,10/06/2022, , ,09/06/2022, , ,INTEREST PAYMENT         
NC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,17/06/2022, , ,16/06/2022, , ,INTEREST PAYMENT         
NC,IIHFL,Sec Re NCD 8.43% Sr.VI,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
ND,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
NE,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
NH,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
NI,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
NK,IBULHSGFIN,Sec Re NCD 8.05% Sr.III,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
NL,DHANILOANS,Dhani Loans & Serv Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
NL,IBULHSGFIN,Sec Re NCD 8.42% Sr.III,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
NO,DHANILOANS,Dhani Loans & Serv Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
NP,L&TFINANCE,Se Re NCD 8.48% Sr.IV OpI,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
NP,IBULHSGFIN,Sec Re NCD 8.20% Sr.VI,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
NQ,IBULHSGFIN,Sec Re NCD 8.66% Sr.VI,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
NQ,L&TFINANCE,SeReNCD 8.66% Sr.IV OpII,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
NT,IBULHSGFIN,Sec Re NCD 8.89% Sr.VIII,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
NV,IBULHSGFIN,UnSe Re NCD 8.89% Sr.X,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
NV,L&TFINANCE,SeReNCD 8.52% Sr.VII OpI,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
NW,L&TFINANCE,SeReNCD 8.70% Sr.VII OpII,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
NW,IBULHSGFIN,UnSe Re NCD 9.35% Sr.X,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
RR,BIRET,Brookfield India RET,26/05/2022, , ,25/05/2022, , ,DIV/DISTRIBU             
RT,BIRET,Brookfield India RET,26/05/2022, , ,25/05/2022, , ,DIV/DISTRIBU             
SM,VINNY,Vinny Overseas Limited,27/05/2022, , ,26/05/2022, , ,BONUS 1:10               
SQ,VINNY,Vinny Overseas Limited,27/05/2022, , ,26/05/2022, , ,BONUS 1:10               
ST,VINNY,Vinny Overseas Limited,27/05/2022, , ,26/05/2022, , ,BONUS 1:10               
U1,UGROCAP,Sec Red NCD 10.03%,01/06/2022, , ,31/05/2022, , ,INTEREST PAYMENT         
U1,M&MFIN,8.72% Unsecured NCD,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
U2,M&MFIN,9.00% Unsecured NCD,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
U3,POONAWALLA,Poonawalla Fincorp Ltd,21/06/2022, , ,20/06/2022, , ,INTEREST PAYMENT         
U3,POONAWALLA,Poonawalla Fincorp Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
U3,BRITANNIA,Unsec Red NCD 5.50%,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
U3,TATACAPHSG,Sec Red NCD 7.92% Sr.II,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
U3,UGROCAP,Sec Red NCD 10.15% Sr. II,21/05/2022, , ,19/05/2022, , ,INTEREST PAYMENT         
U4,UGROCAP,Sec Red NCD 10.40% Sr.III,21/05/2022, , ,19/05/2022, , ,INTEREST PAYMENT         
U4,TATACAPHSG,Sec Red NCD 8.01% Sr.II,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
U4,IIFL,Sec Red NCD 9.75 % Sr.III,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
U5,EHFLNCD,Sec Red NCD 9.57% Sr. V,25/05/2022, , ,24/05/2022, , ,INTEREST PAYMENT         
U5,IIHFL,Unsec Re NCD 9.60% Sr.II,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
U6,POONAWALLA,Poonawalla Fincorp Ltd,21/06/2022, , ,20/06/2022, , ,INTEREST PAYMENT         
U6,POONAWALLA,Poonawalla Fincorp Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
U6,IIFL,Unsec Red NCD 10.0% Sr. V,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
U6,DHANILOANS,Dhani Loans & Serv Ltd,24/05/2022, , ,23/05/2022, , ,INTEREST PAYMENT         
U7,TATACAPHSG,Sec Red NCD 8.01% Sr.IV,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
U7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,10/06/2022, , ,09/06/2022, , ,INTEREST PAYMENT         
U8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,17/06/2022, , ,16/06/2022, , ,INTEREST PAYMENT         
U8,TATACAPHSG,Sec Red NCD 8.10% Sr.IV,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
U9,IIHFL,Sec Re NCD 8.20% Sr.III,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
U9,ICICI0401,ICICI0401-CGB2-5T-2022,24/06/2022, , ,23/06/2022, , ,REDEMPTION               
UA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,10/06/2022, , ,09/06/2022, , ,INTEREST PAYMENT         
UB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,10/06/2022, , ,09/06/2022, , ,INTEREST PAYMENT         
UC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,17/06/2022, , ,16/06/2022, , ,INTEREST PAYMENT         
UC,IIHFL,Sec Re NCD 8.43% Sr.VI,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
UD,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
UE,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
UH,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
UI,L&TFINANCE,L&T Finance Limited,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
UK,IBULHSGFIN,Sec Re NCD 8.05% Sr.III,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
UL,DHANILOANS,Dhani Loans & Serv Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
UL,IBULHSGFIN,Sec Re NCD 8.42% Sr.III,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
UO,DHANILOANS,Dhani Loans & Serv Ltd,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
UP,L&TFINANCE,Se Re NCD 8.48% Sr.IV OpI,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
UP,IBULHSGFIN,Sec Re NCD 8.20% Sr.VI,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
UQ,IBULHSGFIN,Sec Re NCD 8.66% Sr.VI,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
UQ,L&TFINANCE,SeReNCD 8.66% Sr.IV OpII,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
UT,IBULHSGFIN,Sec Re NCD 8.89% Sr.VIII,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
UV,IBULHSGFIN,UnSe Re NCD 8.89% Sr.X,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
UV,L&TFINANCE,SeReNCD 8.52% Sr.VII OpI,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
UW,L&TFINANCE,SeReNCD 8.70% Sr.VII OpII,31/05/2022, , ,30/05/2022, , ,INTEREST PAYMENT         
UW,IBULHSGFIN,UnSe Re NCD 9.35% Sr.X,09/06/2022, , ,08/06/2022, , ,INTEREST PAYMENT         
Y2,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
Y2,IBULHSGFIN,Sec Re NCD 8.05% Sr.III,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
Y3,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
Y3,IBULHSGFIN,Sec Re NCD 8.42% Sr.III,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
Y6,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
Y7,IBULHSGFIN,Sec Re NCD 8.20% Sr.VI,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
Y7,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
Y8,IBULHSGFIN,Sec Re NCD 8.66% Sr.VI,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
YB,IBULHSGFIN,Sec Re NCD 8.43% Sr.VIII,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
YC,IBULHSGFIN,Sec Re NCD 8.89% Sr.VIII,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
YH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
YH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
YI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
YI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,28/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
YJ,IBULHSGFIN,Sec Re NCD 8.05% Sr.III,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
YK,SRTRANSFIN,Sec Red NCD 9.30% Sr. IV,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
YK,IBULHSGFIN,Sec Re NCD 8.42% Sr.III,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
YL,SRTRANSFIN,Sec Red NCD 9.40% Sr. V,28/06/2022, , ,27/06/2022, , ,INTEREST PAYMENT         
YO,IBULHSGFIN,Sec Re NCD 8.20% Sr.VI,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
YO,SRTRANSFIN,Sec Red NCD 9.12% Sr. I,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
YP,IBULHSGFIN,Sec Re NCD 8.66% Sr.VI,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
YP,SRTRANSFIN,Sec Red NCD 9.30% Sr. II,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
YS,IBULHSGFIN,Sec Re NCD 8.43% Sr.VIII,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
YT,IBULHSGFIN,Sec Re NCD 8.89% Sr.VIII,13/06/2022, , ,10/06/2022, , ,INTEREST PAYMENT         
YV,SRTRANSFIN,Shriram Transport Finance,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
YW,SRTRANSFIN,Shriram Transport Finance,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
Z3,SRTRANSFIN,Sec Red NCD 9.12% Sr.I,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
Z4,SRTRANSFIN,Sec Red NCD 9.22% Sr.II,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
Z5,SRTRANSFIN,Sec Red NCD 9.31% Sr.III,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
ZD,SRTRANSFIN,Sec Red NCD 8.52% Sr.I,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
ZE,SRTRANSFIN,Sec Red NCD 8.66% Sr.II,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         
ZF,SRTRANSFIN,Sec Red NCD 8.75% Sr.III,15/06/2022, , ,14/06/2022, , ,INTEREST PAYMENT         

